mainCondition,suggestedCondition,excludedCondition,clinicalContext,additionalInformation
Pyrexia-fever,Heat exhaustion due to salt depletion,none,in general population,none
Pyrexia-fever,Heat exhaustion,none,in general population,none
crohns disease,Small bowel fistula,none,in general population,none
crohns disease,Internal small bowel fistula ,none,in general population,none
crohns disease,Fistula of intestine to abdominal wall ,none,in general population,none
crohns disease,Complication due to Crohn's disease of small intestine ,none,in general population,none
crohns disease,Anorectal fistula ,none,in general population,none
cough,Chronic cough ,none,in general population,none
cough,Allergic cough ,none,in general population,none
cough,Evening cough ,none,in general population,none
cough,Cough ,none,in general population,none
cough,Acute cough ,none,in general population,none
headache,Morning headache ,none,in general population,none
headache,Cough headache syndrome ,none,in general population,none
headache,Chronic daily headache ,none,in general population,none
headache,Orthostatic headache ,none,in general population,none
Type 2 diabetes,Retinopathy due to type 1 diabetes mellitus ,none,in general population,none
Type 2 diabetes,Macular edema of left eye due to diabetes mellitus ,none,in general population,none
Type 2 diabetes,Diabetic ketoacidosis without coma,none,in general population,none
Type 1 diabetes,Macular edema of left eye due to diabetes mellitus ,none,in general population,none
Type 1 diabetes,Diabetic ketoacidosis without coma ,none,in general population,none
schizophrenia,Schizophrenic disorders ,none,in general population,none
schizophrenia,Paranoid schizophrenia ,none,in general population,none
osteoporosis,Osteoporotic fracture of hand ,none,in general population,none
osteoporosis,Localized osteoporosis - Lequesne ,none,in general population,none
pruritus,Pruritus ani ,none,in general population,none
pruritus,Pruritic rash ,none,in general population,none
pruritus,Pruritic disorder ,none,in general population,none
copd,Asthma-chronic obstructive pulmonary disease overlap syndrome ,none,in general population,none
copd,Acute respiratory failure ,none,in general population,none
copd,Acute exacerbation of chronic obstructive pulmonary disease ,none,in general population,none
influenza,Upper respiratory tract infection caused by Influenza virus ,none,in general population,none
influenza,Otitis media caused by Influenza virus ,none,in general population,none
nausea,Spontaneous rupture of esophagus ,none,in general population,none
nausea,"Nausea, vomiting and diarrhea ",none,in general population,none
nausea,Motion sickness ,none,in general population,none
nausea,"Diarrhea and vomiting, symptom ",none,in general population,none
nausea,Diarrhea and vomiting,none,in general population,none
nausea,Dehydration ,none,in general population,none
vomiting,Spontaneous rupture of esophagus ,none,in general population,none
vomiting,"Nausea, vomiting and diarrhea ",none,in general population,none
vomiting,Motion sickness ,none,in general population,none
vomiting,"Diarrhea and vomiting, symptom ",none,in general population,none
vomiting,Diarrhea and vomiting,none,in general population,none
vomiting,Dehydration ,none,in general population,none
asthenia/fatigue,Fatigue during pregnancy ,none,in general population,none
asthenia/fatigue,Fatigue ,none,in general population,none
acute pancreatitis,Acute on chronic pancreatitis ,chronic pancreatitis,in general population,none
acute pancreatitis,Acute on chronic pancreatitis ,none,in general population,none
acute pancreatitis,chronic pancreatitis,chronic pancreatitis,in general population,none
acute pancreatitis,chronic pancreatitis,none,in general population,none
acute pancreatitis,Gastric pain due to chronic pancreatitis,chronic pancreatitis,in general population,none
acute pancreatitis,Gastric pain due to chronic pancreatitis,none,in general population,none
Joint pain,Joint pain,arthritis,in general population,none
Joint pain,Arthritic Joint pain,arthritis,in general population,none
Joint pain,arthritic hip,none,in general population,none
